sensor_index,date_created,private,name,icon,location_type,model,hardware,latitude,longitude
104398,1618865743,0,Midtown1,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.516888,-119.815285
104400,1618865749,0,Pineview Resident,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,38.85103,-119.646965
104402,1618865754,0,Forest Park,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,32.719143,-97.353935
104404,1618865766,0,OECI Outside,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,48.493355,-120.181915
104406,1618865768,0,Never Summer Mountain Products | (970) 627-3642,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,40.25187,-105.82009
104408,1618865769,0,Granite Bay,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,38.75582,-121.16947
104412,1618865790,0,Delphia Pondside,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35.22281,-82.71772
104414,1618865792,0,Wildflower Ln,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,46.319183,-114.19861
104416,1618865798,0,"230 monte vista ave, larkspur, ca, 94939",0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.933697,-122.534424
104420,1618865810,0,Meyers,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,38.867065,-119.99523
104426,1618865827,0,Peardale,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.193344,-121.008484
104432,1618867877,0,Baja Los Angeles Ave,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.890266,-122.27305
104434,1618867881,0,"Dolores Drive, Paradise",0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.776142,-121.58283
104442,1618867896,0,Boulders,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.53029,-119.92514
104444,1618867896,0,The Aerie,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,48.599903,-118.67056
104446,1618867899,0,7548 East Side rd,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,46.283245,-112.72822
104450,1618867914,0,Rohnert Park,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,38.34944,-122.68654
104452,1618867918,0,Idlewood,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.94607,-122.563446
104454,1618867924,0,Jeffery,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.210724,-120.09041
104456,1618867925,0,Cypress Point &amp; Wawona,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,38.24495,-120.32845
104460,1618867933,0,Mammoth Hospital Bldg. E outside,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.6435,-118.96262
104462,1618867936,0,Blue Tent,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.314243,-120.984825
104464,1618867939,0,Concow,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.77089,-121.49685
104466,1618867943,0,Charleys Gulch,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,46.28901,-114.05414
104508,1618940746,0,AYUNTAMIENTO E MEXICALI - ESTACION ESPERANZA *,0,0,PA-II-SD,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,32.646976,-115.49403
104516,1618947913,0,Marmot's End,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,47.624294,-117.377785
104528,1618947962,0,Miyuu,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,43.825314,-79.32568
104534,1618947976,0,Crawfish Lake,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,48.483555,-119.221146
104538,1618948011,0,ECCLES_1,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.66073,-122.38682
